year,marriage_registrations,first_marriage_people,divorce_registrations,source_note
2013,13469300,23859600,,China Statistical Yearbook and civil affairs statistical bulletin
2014,13067400,22868100,,China Statistical Yearbook and civil affairs statistical bulletin
2015,12247100,21089700,,China Statistical Yearbook and civil affairs statistical bulletin
2016,11428200,19132600,,China Statistical Yearbook and civil affairs statistical bulletin
2017,10631000,17463300,,China Statistical Yearbook and civil affairs statistical bulletin
2018,10139400,15986700,,China Statistical Yearbook and civil affairs statistical bulletin
2019,9273300,13987100,4701000,China Statistical Yearbook and civil affairs statistical bulletin
2020,8143300,12286000,4339000,China Statistical Yearbook and civil affairs statistical bulletin
2021,7643000,11578000,2839000,China Statistical Yearbook and civil affairs statistical bulletin
2022,6835000,10517600,2879000,China Statistical Yearbook and civil affairs statistical bulletin
2023,7682000,11939800,3605300,China Statistical Yearbook and civil affairs statistical bulletin
2024,6106000,9172300,3513000,2024 civil affairs statistical bulletin
