month,urban_surveyed_unemployment_rate,age16_24_excluding_students_rate,age25_29_excluding_students_rate,age30_59_rate,weekly_working_hours,source_note
2024-01,0.052,0.146,0.062,0.041,49.0,National Bureau of Statistics monthly labour force survey
2024-02,0.053,0.153,0.064,0.042,48.0,National Bureau of Statistics monthly labour force survey
2024-03,0.052,0.153,0.072,0.041,48.6,National Bureau of Statistics monthly labour force survey
2024-04,0.050,0.147,0.071,0.040,48.5,National Bureau of Statistics monthly labour force survey
2024-05,0.050,0.142,0.066,0.040,48.7,National Bureau of Statistics monthly labour force survey
2024-06,0.050,0.132,0.064,0.040,48.6,National Bureau of Statistics monthly labour force survey
2024-07,0.052,0.171,0.065,0.039,48.7,National Bureau of Statistics monthly labour force survey
2024-08,0.053,0.188,0.069,0.039,48.7,National Bureau of Statistics monthly labour force survey
2024-09,0.051,0.176,0.067,0.039,48.8,National Bureau of Statistics monthly labour force survey
2024-10,0.050,0.171,0.068,0.038,48.6,National Bureau of Statistics monthly labour force survey
2024-11,0.050,0.161,0.067,0.038,48.9,National Bureau of Statistics monthly labour force survey
2024-12,0.051,0.157,0.066,0.039,49.0,National Bureau of Statistics monthly labour force survey
